flight,tail_number,long,lat,alt,manufacturer,model,reg_expiration,reg_owner,reg_city,reg_state,squawk,mph,spotted
SWA2179,N555LV,-118.321,34.5741,8450,BOEING,737-7BD,4/30/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,713,322,11/10/22 17:50
SWA3336,N746SW,-117.988,34.4155,37850,BOEING,737-7H4,10/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,3224,525,11/10/22 17:50
SWA1626,N7855A,-118.064,34.6309,11850,BOEING,737-79P,1/31/26,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,615,387,11/10/22 18:00
SWA2814,N8548P,-118.301,34.6259,37875,BOEING,737-800,11/30/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,3332,525,11/10/22 18:00
N714CY,N714CY,-118.385,34.6573,8425,CESSNA,150M,None,RICH LUCAS AIRCRAFT SALES LLC,LINCOLN PARK,NEW JERSEY,1200,460,11/10/22 18:00
N69848,N69848,-118.092,34.51,9500,CESSNA,310Q,1/31/26,ONAERO INC,SANTA MONICA,CALIFORNIA,1200,460,11/10/22 18:00
N828SP,N828SP,-118.139,34.5774,7325,CESSNA,172S,1/31/26,VISTA AVIATION INC,PACOIMA,CALIFORNIA,4741,460,11/10/22 18:00
JSX110,N265JX,-117.673,34.7078,25575,EMBRAER,EMB-135ER,10/31/25,DELUX PUBLIC CHARTER LLC,DALLAS,TEXAS,4734,460,11/10/22 18:00
N100UW,N100UW,-118.191,34.6618,16950,CESSNA,340A,None,REGISTRATION PENDING,MADERA,CALIFORNIA,2075,460,11/10/22 18:00
AAL134,N717AN,-117.193,34.647,29825,BOEING,777-323ER,9/30/23,AMERICAN AIRLINES INC,FORT WORTH,TEXAS,7330,559,11/10/22 18:00
SWA256,N211WN,-118.494,34.9154,40875,BOEING,737-7H4,6/30/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,1023,525,11/10/22 18:00
N577BF,N577BF,-118.547,34.8003,27175,PILATUS AIRCRAFT LTD,PC-12/45,11/30/23,KEVIN 577 LLC,BELLEVUE,WASHINGTON,7351,460,11/10/22 18:00
CNS8,N894AF,-118.467,34.4937,16300,PILATUS AIRCRAFT LTD,PC-12/47E,4/30/24,TANCURA LLC,PORTSMOUTH,NEW HAMPSHIRE,1070,302,11/10/22 18:10
ASA142,N270AK,-118.277,34.3786,34850,BOEING,737-900ER,3/31/26,ALASKA AIRLINES INC,SEATTLE,WASHINGTON,6742,523,11/10/22 18:10
TIV770,N770TM,-118.351,34.5675,8050,DASSAULT AVIATION,FALCON 2000,11/30/25,TTX HOLDINGS LLC,LAS VEGAS,NEVADA,2611,327,11/10/22 18:10
SWA132,N461WN,-118.488,34.7128,38925,BOEING,737-7H4,8/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,2620,527,11/10/22 18:10
ATN3326,N431AZ,-117.859,34.538,18200,BOEING,767-381,1/31/23,CARGO AIRCRAFT MANAGEMENT INC,WILMINGTON,OHIO,3542,442,11/10/22 18:10
SWA4837,N268WN,-118.334,34.2124,35800,BOEING,737-7H4,3/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,3365,529,11/10/22 18:10
SWA2058,N243WN,-117.983,34.6403,12900,BOEING,737-7H4,10/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,4601,460,11/10/22 18:20
SWA634,N412WN,-118.682,34.4975,20925,BOEING,737-7H4,12/31/25,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,2430,460,11/10/22 18:20
0,N401SY,-118.213,34.5978,10225,LEARJET INC,60,10/31/25,TOP AIR TEXAS LLC,GLENDALE,CALIFORNIA,1174,460,11/10/22 18:20
SKW3332,N405SY,-118.272,34.661,28800,EMBRAER S A,ERJ 170-200 LR,8/31/24,SKYWEST AIRLINES INC,ST GEORGE,UTAH,2413,523,11/10/22 18:20
DJR213,N213F,-117.959,34.5527,23250,CESSNA,525B,1/31/25,DS AVIATION DEVELOPMENT LLC,AKRON,OHIO,1537,433,11/10/22 18:20
N15PG,N15PG,-118.315,34.8246,18250,CESSNA,525B,7/31/25,SHAMROCK TRANSPORT LLC,BAKERSFIELD,CALIFORNIA,1541,412,11/10/22 18:20
ASA1135,N486AS,-118.765,34.8337,34825,BOEING,737-990ER,9/30/24,ALASKA AIRLINES INC,SEATAC,WASHINGTON,2037,525,11/10/22 18:20
SWA844,N450WN,-118.685,34.5871,36925,BOEING,737-7H4,9/30/25,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,7324,511,11/10/22 18:30
SWA1783,N481WN,-118.132,34.6786,38875,BOEING,737-7H4,5/31/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,7731,523,11/10/22 18:30
SCM36,N360SN,-117.943,34.5464,21575,LEARJET INC,60,7/31/25,TAILWINDS LLC,HOUSTON,TEXAS,3371,460,11/10/22 18:30
ASA1402,N849VA,-118.146,34.6846,35850,AIRBUS,A320-214,1/31/24,AWAS 4991 TRUST,WILMINGTON,DELAWARE,3272,502,11/10/22 18:30
N5809K,N5809K,-118.067,34.6269,8800,BEECH,35-C33,9/30/25,BAXLEY ANDREW,EDWARDS,CALIFORNIA,4722,460,11/10/22 18:30
HAL32,N208HA,-118.463,34.3441,33925,AIRBUS,A321-271N,10/31/24,HAWAIIAN AIRLINES INC,HONOLULU,HAWAII,1056,527,11/10/22 18:40
NKS1652,N608NK,-118.084,34.6265,11475,AIRBUS,A320-232,11/30/23,WELLS FARGO TRUST CO NA TRUSTEE,SALT LAKE CITY,UTAH,4761,387,11/10/22 18:40
ASA328,N303AS,-118.475,34.4111,35900,BOEING,737-990,10/31/23,ALASKA AIRLINES INC,SEATTLE,WASHINGTON,3543,460,11/10/22 18:40
N220VP,N220VP,-118.637,34.879,36275,CESSNA,560XL,7/31/25,CJSMHC 1 LLC,ENCINITAS,CALIFORNIA,7262,460,11/10/22 18:40
SWA1874,N7881A,-118.601,34.2795,36875,BOEING,737-7CT,4/30/25,WELLS FARGO TRUST CO NA TRUSTEE,SALT LAKE CITY,UTAH,6710,460,11/10/22 18:50
NKS2901,N647NK,-118.676,34.4188,34975,AIRBUS,A320-232,4/30/23,SPIRIT AIRLINES INC,MIRAMAR,FLORIDA,2057,511,11/10/22 18:50
ASA420,N408AS,-118.562,34.9757,29050,BOEING,737-990ER,12/31/24,ALASKA AIRLINES INC,SEATTLE,WASHINGTON,1511,490,11/10/22 18:50
N9157A,N9157A,-118.267,34.7413,4550,TEXTRON AVIATION INC,172S,3/31/25,9K AIR LLC,NEWARK,DELAWARE,,460,11/10/22 19:00
SWA165,N252WN,-118.632,34.5047,20650,BOEING,737-7H4,5/31/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,7331,474,11/10/22 19:00
AAL843,N960NN,-117.769,34.8764,37850,BOEING,737-823,11/30/23,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,3216,520,11/10/22 19:00
N8096U,N8096U,-118.169,34.6731,21650,BEECH,C90A,3/31/25,WHITTY AVIATION LLC,ROCKLIN,CALIFORNIA,3256,320,11/10/22 19:10
SWA2058,N243WN,-118.722,34.4845,26575,BOEING,737-7H4,10/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,,460,11/10/22 19:20
N685ST,N685ST,-118.392,34.6916,17700,HAWKER BEECHCRAFT CORP,B300,4/30/25,S-K AIR LLC,VISALIA,CALIFORNIA,3713,460,11/10/22 19:20
SWA2512,N909WN,-118.438,34.3587,37875,BOEING,737-7H4,9/30/25,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,3202,520,11/10/22 19:20
ASA1073,N288AK,-118.092,34.7313,34875,BOEING,737-900ER,5/31/24,ALASKA AIRLINES INC,SEATAC,WASHINGTON,6772,529,11/10/22 19:20
KPO44,N44WG,-118.33,34.572,8150,BOMBARDIER INC,BD-700-1A10,4/30/25,C & S GLOBAL EXPRESS 2 LLC,BEVERLY,MASSACHUSETTS,1502,329,11/10/22 19:20
SWA895,N752SW,-117.856,34.4346,24375,BOEING,737-7H4,11/30/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,6774,481,11/10/22 19:30
N469CP,N469CP,-118.334,34.6368,11525,CIRRUS DESIGN CORP,SR22,4/30/24,N469CP LLC,CULVER CITY,CALIFORNIA,7250,460,11/10/22 19:30
SWA3540,N266WN,-118.089,34.6491,22350,BOEING,737-7H4,12/31/25,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,6346,449,11/10/22 19:30
SWA3515,N8656B,-118.298,34.7565,24675,BOEING,737-8H4,1/31/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,3223,474,11/10/22 19:40
AAL1483,N828AW,-117.501,34.607,32825,AIRBUS INDUSTRIE,A319-132,5/31/25,US BANK NA TRUSTEE,BOSTON,MASSACHUSETTS,2064,532,11/10/22 19:40
N69848,N69848,-118.226,34.5058,6475,CESSNA,310Q,1/31/26,ONAERO INC,SANTA MONICA,CALIFORNIA,1200,460,11/10/22 19:40
UPS927,N324UP,-118.048,34.4534,22000,BOEING,767-34AF,8/31/24,UNITED PARCEL SERVICE CO,LOUISVILLE,KENTUCKY,7344,506,11/10/22 19:50
DAL2086,N303DU,-118.652,34.5282,31200,AIRBUS CANADA LP,BD-500-1A11,10/31/23,DELTA AIR LINES INC,ATLANTA,GEORGIA,1332,523,11/10/22 20:00
KFB60,N60GG,-118.242,34.5921,9750,GULFSTREAM AEROSPACE,G-IV,10/31/25,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UTAH,2721,327,11/10/22 20:00
N2773T,N2773T,-118.186,34.4948,9950,BEECH,95-C55,3/31/24,POVILAITIS CARL A,GLENDALE,CALIFORNIA,4715,460,11/10/22 20:00
FDX3758,N135FE,-117.957,34.5827,19250,BOEING,767-3S2F,7/31/25,FEDERAL EXPRESS CORP,MEMPHIS,TENNESSEE,3764,428,11/10/22 20:00
DAL1187,N3739P,-117.76,34.4922,17575,BOEING,737-832,5/31/25,DELTA AIR LINES INC,ATLANTA,GEORGIA,3537,451,11/10/22 20:00
N592DR,N592DR,-117.899,34.6138,30550,CESSNA,525A,5/31/25,WESTERN OILFIELDS SUPPLY CO,BAKERSFIELD,CALIFORNIA,763,460,11/10/22 20:20
UPS897,N342UP,-118.333,34.8175,24700,BOEING,767-34AF,4/30/23,UNITED PARCEL SERVICE CO,LOUISVILLE,KENTUCKY,3210,470,11/10/22 20:20
UPS963,N432UP,-117.808,34.5148,17425,BOEING,757-24APF,2/28/26,UNITED PARCEL SERVICE CO,LOUISVILLE,KENTUCKY,3343,417,11/10/22 20:20
SWA300,N8526W,-118.709,34.6477,40925,BOEING,737-800,4/30/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,2015,518,11/10/22 20:30
SKW3386,N170SY,-118.292,34.2147,35900,EMBRAER S A,ERJ 170-200 LR,6/30/24,SKYWEST AIRLINES INC,ST GEORGE,UTAH,3705,504,11/10/22 20:30
NKS1653,N608NK,-117.569,34.7122,23700,AIRBUS,A320-232,11/30/23,WELLS FARGO TRUST CO NA TRUSTEE,SALT LAKE CITY,UTAH,4610,460,11/10/22 20:30
ASA423,N408AS,-118.269,34.3963,20125,BOEING,737-990ER,12/31/24,ALASKA AIRLINES INC,SEATTLE,WASHINGTON,7213,465,11/10/22 20:40
UPS51,N577UP,-118.446,34.8952,25225,BOEING,747-44AF,5/31/25,UNITED PARCEL SERVICE CO,LOUISVILLE,KENTUCKY,3217,532,11/10/22 20:40
AAL136,N721AN,-117.226,34.6279,31425,BOEING,777-323ER,3/31/25,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,,576,11/10/22 20:40
N260GD,N260GD,-117.905,34.6144,17200,LEARJET INC,60,6/30/24,R CONSULTING AND SALES INC,CARSON CITY,NEVADA,4653,460,11/10/22 20:50
SWA1945,N8664J,-118.713,34.8468,35900,BOEING,737-8H4,4/30/24,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,6357,518,11/10/22 20:50
SWA3584,N225WN,-118.112,34.6207,10575,BOEING,737-7H4,6/30/25,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,4612,401,11/10/22 20:50
N685ST,N685ST,-118.454,34.5286,22650,HAWKER BEECHCRAFT CORP,B300,4/30/25,S-K AIR LLC,VISALIA,CALIFORNIA,6743,348,11/10/22 20:50
JSX552,N243JX,-118.346,34.5686,7975,EMBRAER,EMB-145LR,11/30/25,DELUX PUBLIC CHARTER LLC,DALLAS,TEXAS,1414,460,11/10/22 20:50
ASA1178,N265AK,-118.483,34.4218,35925,BOEING,737-900ER,10/31/25,ALASKA AIRLINES INC,SEATAC,WASHINGTON,3521,511,11/10/22 20:50
AAL1017,N177XF,-118.386,34.4112,32875,AIRBUS,A319-112,8/31/25,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,3470,504,11/10/22 20:50
